iter	Passed	Remaining
587	72946	51112
588	73069	50987
589	73154	50836
590	73288	50719
591	73408	50592
592	73534	50469
593	73644	50336
594	73733	50188
595	73939	50120
596	74062	49995
597	74215	49890
598	74347	49771
599	74408	49605
600	74521	49474
601	74665	49363
602	74784	49236
603	74921	49120
604	75061	49007
605	75183	48881
606	75311	48759
607	75456	48649
608	75598	48536
609	75714	48407
610	75849	48290
611	75981	48171
612	76133	48064
613	76266	47945
614	76458	47864
615	76562	47727
616	76721	47624
617	76832	47492
618	76959	47368
619	77121	47268
620	77250	47146
621	77389	47030
622	77534	46918
623	77616	46769
624	77721	46632
625	77853	46512
626	77958	46377
627	78067	46243
628	78233	46143
629	78362	46022
630	78501	45906
631	78640	45790
632	78764	45666
633	78869	45530
634	79006	45413
635	79133	45289
636	79265	45170
637	79403	45053
638	79518	44923
639	79654	44805
640	79792	44688
641	79924	44568
642	80054	44447
643	80153	44308
644	80341	44219
645	80453	44087
646	80512	43927
647	80636	43802
648	80754	43674
649	80853	43536
650	80934	43388
651	81033	43251
652	81140	43117
653	81245	42983
654	81384	42866
655	81546	42762
656	81666	42635
657	81811	42521
658	81930	42395
659	82085	42286
660	82237	42176
661	82397	42069
662	82481	41925
663	82661	41828
664	82831	41727
665	82915	41582
666	83018	41447
667	83185	41343
668	83324	41226
669	83428	41091
670	83568	40974
671	83727	40867
672	83861	40746
673	83985	40621
674	84120	40502
675	84174	40343
676	84323	40231
677	84459	40111
678	84555	39973
679	84702	39860
680	84829	39736
681	84984	39626
682	85089	39492
683	85207	39365
684	85334	39241
685	85481	39126
686	85611	39004
687	85765	38893
688	85876	38763
689	86012	38643
690	86126	38514
691	86248	38388
692	86370	38262
693	86509	38144
694	86709	38052
695	86831	37926
696	86974	37809
697	87101	37685
698	87165	37534
699	87335	37429
700	87485	37315
701	87612	37191
702	87728	37063
703	87847	36936
704	87941	36798
705	88058	36670
706	88197	36551
707	88290	36413
708	88427	36293
709	88548	36167
710	88670	36041
711	88784	35913
712	88941	35801
713	89098	35689
714	89211	35559
715	89339	35436
716	89515	35331
717	89666	35217
718	89789	35091
719	89912	34965
720	90065	34852
721	90219	34738
722	90329	34607
723	90463	34486
724	90578	34357
725	90684	34225
726	90795	34094
727	90950	33981
728	91073	33855
729	91239	33746
730	91395	33632
731	91562	33522
732	91619	33372
733	91747	33249
734	91891	33131
735	92036	33013
736	92184	32896
737	92290	32764
738	92354	32617
739	92484	32494
740	92601	32366
741	92723	32240
742	92812	32103
743	92916	31971
744	93035	31844
745	93141	31712
746	93266	31588
747	93418	31472
748	93560	31353
749	93689	31229
750	93843	31114
751	94000	31000
752	94137	30879
753	94302	30767
754	94467	30654
755	94544	30514
756	94648	30382
757	94771	30256
758	94893	30131
759	95058	30018
760	95168	29888
761	95309	29768
762	95435	29643
763	95603	29531
764	95710	29401
765	95906	29297
766	96033	29173
767	96106	29032
768	96268	28918
769	96406	28796
770	96463	28651
771	96579	28523
772	96739	28408
773	96886	28289
774	97045	28174
775	97207	28059
776	97343	27937
777	97464	27811
778	97519	27665
779	97722	27562
780	97861	27441
781	97983	27315
782	98163	27204
783	98297	27082
784	98432	26959
785	98563	26835
786	98682	26708
787	98844	26592
788	98977	26469
789	99162	26359
790	99285	26233
